Visual,Spatial,Data,Technology,Theory
"Interaction --- Grab,Interaction --- Click,Interaction --- Move,Abstract/Natural --- Abstract,Manipulate --- Change,Manipulate --- Translate,Position --- Fixed (Point),Scale --- Medium ,2D or 3D --- 2D","Environment --- Room Scale,Environment --- Table,Space --- Finite,Embodiment --- Exocentric","Data Domain --- General,Dataset Types --- Network,Dataset Generation --- Pre-computation,Dataset Generation --- Static","Presentation --- HMD,Presentation --- VR,Input --- Commercial Controller","Opportunity --- Collaboration,Contribution Type --- Evaluation"
"Interaction --- Touch,Interaction --- Move,Interaction --- Pinch,Interaction --- Rotate,Interaction --- Brushing,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Select,Manipulate --- Change,Manipulate --- Translate,Manipulate --- Zoom,Manipulate --- Rotate,Manipulate --- Arrange,Position --- Fixed (Object),Scale --- Medium ,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Seated,Environment --- Object,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- General,Dataset Types --- Tabular,Dataset Generation --- Static","Presentation --- AR,Presentation --- HMD,Presentation --- Tablet,Presentation --- Tabletop,Input --- Mobile Device","Opportunity --- Situated Analytics,Contribution Type --- System"
"Interaction --- Move,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Change,Position --- Unfixed,Scale --- Medium ,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Room Scale,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Health,Data Domain --- Physical Sciences,Data Domain --- Life sciences,Dataset Types --- Spatial,Dataset Generation --- Dynamic,Dataset Generation --- Live-computation","Presentation --- HMD,Presentation --- AR,Input --- Body,Input --- Mouse/Keyboard","Opportunity --- Situated Analytics,Contribution Type --- Evaluation"
"Interaction --- Click,Interaction --- Touch,Interaction --- Move,Abstract/Natural --- Abstract,Manipulate --- Select,Manipulate --- Scale,Manipulate --- Arrange,Manipulate --- Navigate,Position --- Unfixed,Position --- Fixed (Body),Scale --- Small,Scale --- Large,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Room Scale,Space --- Infinite ,Embodiment --- Egocentric","Data Domain --- Physical Sciences,Data Domain --- Material Science,Dataset Types --- Volumetric data,Dataset Types --- Tabular,Dataset Generation --- Static","Presentation --- VR,Presentation --- HMD,Input --- Commercial Controller","Opportunity --- Spatial Immersion,Contribution Type --- System"
"Interaction --- None,Abstract/Natural --- Abstract,Manipulate --- None,Position --- Fixed (Object),Scale --- Medium ,2D or 3D --- 2D","Environment --- Room Scale,Environment --- Object,Space --- Finite,Embodiment --- Egocentric","Data Domain --- Biology,Data Domain --- Health,Data Domain --- Life sciences,Dataset Types --- Tabular,Dataset Generation --- Dynamic","Presentation --- AR,Presentation --- HMD,Input --- None","Opportunity --- Situated Analytics,Contribution Type --- Design Study"
"Interaction --- Move,Abstract/Natural --- Abstract,Manipulate --- Change,Manipulate --- Arrange,Position --- Fixed (Head),Position --- Unfixed,Scale --- Medium ,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Room Scale,Space --- Infinite ,Embodiment --- Exocentric","Data Domain --- Physical Sciences,Data Domain --- Health,Data Domain --- Life sciences,Dataset Types --- Spatial,Dataset Generation --- Live-computation","Presentation --- HMD,Presentation --- VR,Input --- Body","Opportunity --- Spatial Immersion,Contribution Type --- System"
"Interaction --- Pinch,Interaction --- Touch,Interaction --- Gesture,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Translate,Manipulate --- Rotate,Manipulate --- Scale,Manipulate --- Arrange,Position --- Fixed (Hand),Position --- Unfixed,Scale --- Medium ,2D or 3D --- 3D","Environment --- Seated,Space --- Infinite ,Embodiment --- Egocentric","Data Domain --- Biology,Data Domain --- Life sciences,Dataset Types --- Volumetric data,Dataset Types --- Tabular,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- VR,Presentation --- HMD,Presentation --- Haptic Display,Input --- Gesture","Opportunity --- Multi-Sensory Presentation,Contribution Type --- Technique"
"Interaction --- Gesture,Interaction --- Touch,Abstract/Natural --- Abstract,Manipulate --- Arrange,Manipulate --- Change,Manipulate --- Navigate,Position --- Fixed (Point),Scale --- Medium ,2D or 3D --- 2D,2D or 3D --- 3D","Environment --- Room Scale,Space --- Infinite ,Embodiment --- Egocentric","Data Domain --- Deep learning,Dataset Types --- Tabular,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- VR,Presentation --- HMD,Input --- Commercial Controller","Opportunity --- Spatial Immersion,Contribution Type --- System"
"Interaction --- None,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- None,Position --- Fixed (Object),Scale --- Small,2D or 3D --- 3D","Environment --- Room Scale,Environment --- Object,Space --- Situated ,Embodiment --- Exocentric","Data Domain --- Biology,Data Domain --- Life sciences,Dataset Types --- Volumetric data,Dataset Generation --- Static,Dataset Generation --- Pre-computation","Presentation --- HMD,Presentation --- AR,Input --- None","Opportunity --- Situated Analytics,Contribution Type --- Technique"
"Interaction --- Touch,Interaction --- Pinch,Interaction --- Move,Interaction --- Rotate,Abstract/Natural --- Abstract,Manipulate --- Navigate,Manipulate --- Select,Manipulate --- Arrange,Position --- Fixed (Point),Position --- Fixed (Object),Scale --- Small,2D or 3D --- 2D","Environment --- Seated,Environment --- Table,Environment --- Object,Space --- Situated ,Embodiment --- Egocentric","Data Domain --- Literature,Dataset Types --- Tabular,Dataset Generation --- Live-computation","Presentation --- AR,Presentation --- Phone,Presentation --- Handheld,Input --- Gesture,Input --- Mobile Device","Opportunity --- Situated Analytics,Contribution Type --- Technique"
"Interaction --- Draw,Interaction --- Touch,Interaction --- Move,Interaction --- Rotate,Abstract/Natural --- Abstract,Manipulate --- Annotate,Manipulate --- Filter,Manipulate --- Translate,Manipulate --- Rotate,Manipulate --- Select,Position --- Fixed (Hand),Position --- Fixed (Point),Scale --- Small,Scale --- Medium ,2D or 3D --- 3D","Environment --- Room Scale,Environment --- Object,Space --- Finite,Embodiment --- Exocentric","Data Domain --- General,Dataset Types --- Tabular,Dataset Generation --- Pre-computation,Dataset Generation --- Static","Presentation --- HMD,Presentation --- VR,Input --- Custom Controller,Input --- Commercial Controller,Input --- Mobile Device","Opportunity --- Spatial Immersion,Contribution Type --- Evaluation"
"Interaction --- Grab,Interaction --- Rotate,Interaction --- Click,Interaction --- Move,Abstract/Natural --- Abstract,Manipulate --- Arrange,Manipulate --- Translate,Manipulate --- Change,Manipulate --- Pan,Manipulate --- Slice,Manipulate --- Select,Position --- Unfixed,Scale --- Large,2D or 3D --- 3D","Environment --- Room Scale,Space --- Finite,Embodiment --- Exocentric","Data Domain --- Biology,Data Domain --- Life sciences,Dataset Types --- Tabular,Dataset Generation --- Pre-computation,Dataset Generation --- Static","Presentation --- VR,Presentation --- HMD,Input --- Commercial Controller","Opportunity --- Embodied Data Exploration,Contribution Type --- Design Study"
"Interaction --- Raycast,Interaction --- Grab,Abstract/Natural --- Abstract,Manipulate --- Translate,Manipulate --- Rotate,Manipulate --- Select,Position --- Unfixed,Scale --- Medium ,2D or 3D --- 3D,2D or 3D --- 2D","Environment --- Room Scale,Space --- Finite,Embodiment --- Exocentric","Data Domain --- General,Dataset Types --- Network,Dataset Generation --- Pre-computation,Dataset Generation --- Static","Presentation --- VR,Presentation --- HMD,Input --- Commercial Controller","Opportunity --- Spatial Immersion,Contribution Type --- Evaluation"
"Interaction --- Grab,Interaction --- Rotate,Interaction --- Touch,Interaction --- Gesture,Abstract/Natural --- Abstract,Abstract/Natural --- Natural Spatial Mapping,Manipulate --- Translate,Manipulate --- Rotate,Manipulate --- Arrange,Manipulate --- Change,Manipulate --- Select,Position --- Fixed (Object),Position --- Fixed (Point),Scale --- Medium ,Scale --- Small,Scale --- Large,2D or 3D --- 3D,2D or 3D --- 2D","Environment --- Room Scale,Space --- Finite,Embodiment --- Egocentric,Embodiment --- Exocentric","Data Domain --- General,Dataset Types --- Tabular,Dataset Types --- Spatial,Dataset Generation --- Pre-computation,Dataset Generation --- Static","Presentation --- HMD,Presentation --- AR,Input --- Custom Controller,Input --- Gesture","Opportunity --- Embodied Data Exploration,Contribution Type --- Technique"
